x,y,z
14894.966796875,9783.1064453125,0.0
4779.23046875,7366.8369140625,0.0
-13475.857421875,10876.5537109375,0.0
12122.302734375,-4776.58349609375,0.0
-14280.6015625,3407.7392578125,0.0
27890.994140625,300.2823486328125,0.0
20854.720703125,7891.80615234375,0.0
21929.158203125,-861.261474609375,0.0
-10610.42578125,-5029.22509765625,0.0
28071.251953125,144.42669677734375,0.0
-5628.61328125,17258.33203125,0.0
7313.44384765625,21642.634765625,0.0
23217.75,4497.6630859375,0.0
3136.892822265625,-537.68212890625,0.0
10741.755859375,-3649.97314453125,0.0
-6955.61181640625,6302.322265625,0.0
-1748.50439453125,8217.2158203125,0.0
25796.15234375,6768.53369140625,0.0
1423.5458984375,-7534.5888671875,0.0
-5306.4560546875,17291.4296875,0.0
3163.03173828125,10154.4306640625,0.0
214.46142578125,9051.8203125,0.0
2378.65966796875,17219.958984375,0.0
23045.349609375,-2351.455078125,0.0
-25470.7421875,-8547.029296875,0.0
-15019.724609375,-1941.869873046875,0.0
10049.3291015625,-14584.1298828125,0.0
15453.1611328125,17916.6953125,0.0
23255.90234375,1482.2435302734375,0.0
17847.59375,7017.05908203125,0.0
8530.62109375,8635.9541015625,0.0
-25468.927734375,-12321.3798828125,0.0
27527.486328125,2877.318603515625,0.0
-7451.13671875,13300.015625,0.0
-5295.69677734375,6898.55908203125,0.0
-19483.44921875,4294.4404296875,0.0
-11907.1240234375,4284.0322265625,0.0
26718.453125,7579.29345703125,0.0
-15349.615234375,-2254.17626953125,0.0
-1187.05908203125,8436.7509765625,0.0
-15267.701171875,-2045.690185546875,0.0
-2645.88720703125,1754.6728515625,0.0
-1062.07666015625,18876.05859375,0.0
22325.42578125,7912.001953125,0.0
-16114.865234375,2691.49755859375,0.0
-15288.69921875,-2463.841796875,0.0
-11449.1884765625,4502.37841796875,0.0
-1431.441162109375,-2836.430908203125,0.0
2954.142333984375,8124.70556640625,0.0
8957.462890625,18648.56640625,0.0
-10696.5615234375,1673.441650390625,0.0
8560.0068359375,-11560.56640625,0.0
-2032.62548828125,7908.18310546875,0.0
23494.134765625,1349.55078125,0.0
9884.7001953125,4513.66455078125,0.0
-9180.3251953125,-2944.244873046875,0.0
7878.623046875,-4955.5927734375,0.0
-8731.5126953125,-3420.187744140625,0.0
-9223.1171875,-2364.683349609375,0.0
-11328.3369140625,10127.6572265625,0.0
-20327.0078125,5085.8759765625,0.0
-3720.015869140625,2282.571533203125,0.0
-9428.30859375,-2666.5322265625,0.0
25825.8671875,10440.9091796875,0.0
-6133.17431640625,17185.75,0.0
18577.73828125,5858.39697265625,0.0
-9056.056640625,-3142.5634765625,0.0
-28539.88671875,-13338.01953125,0.0
-9560.001953125,-2440.8896484375,0.0
-30070.11328125,-16213.091796875,0.0
-5773.07177734375,4412.052734375,0.0
23102.79296875,-2129.572265625,0.0
7146.63232421875,2115.419677734375,0.0
-8784.884765625,-3186.045166015625,0.0
7590.7802734375,21621.6328125,0.0
-9000.2470703125,-2591.62548828125,0.0
27281.10546875,3538.0263671875,0.0
-12523.5234375,4112.572265625,0.0
-15192.662109375,-12120.763671875,0.0
12061.1630859375,-675.501708984375,0.0
2144.5595703125,9741.5908203125,0.0
-15245.8759765625,3045.966796875,0.0
-18122.767578125,3978.99658203125,0.0
12997.9365234375,13965.205078125,0.0
-758.7078247070312,3377.0419921875,0.0
-8387.982421875,6829.130859375,0.0
26371.67578125,6798.0947265625,0.0
14113.5390625,17972.8203125,0.0
3989.25390625,18480.08984375,0.0
24567.318359375,-4178.5546875,0.0
2721.349853515625,1436.13525390625,0.0
-12922.33203125,8736.1142578125,0.0
-10938.5224609375,-9223.9482421875,0.0
12450.26171875,-4948.9541015625,0.0
24500.5546875,-4541.7275390625,0.0
22083.94140625,-669.4866333007812,0.0
16504.91796875,850.334228515625,0.0
23861.03515625,13204.28125,0.0
25400.1171875,8606.3828125,0.0
7866.64404296875,21684.537109375,0.0
23802.28125,9911.13671875,0.0
517.894775390625,3762.47314453125,0.0
